"SpatialReferenceID","verbatimLatitude","verbatimLongitude","samplingFeatureName","Program"
NA,38.02106,-107.39053,NA,"NRSA"
NA,40.21855,-105.36055,NA,"NRSA"
NA,40.9715,-107.019,NA,"NRSA"
NA,37.93377,-108.03855,NA,"NRSA"
NA,39.64305,-107.7104,NA,"NRSA"
NA,38.99335,-106.3951,NA,"NRSA"
NA,44.91362,-116.22571,NA,"NRSA"
NA,45.86143,-116.61914,NA,"NRSA"
NA,43.23258,-116.77989,NA,"NRSA"
NA,46.62902,-115.16426,NA,"NRSA"
NA,44.81675,-114.14713,NA,"NRSA"
NA,45.85814,-114.91584,NA,"NRSA"
NA,42.72991,-111.4436,NA,"NRSA"
NA,45.02333,-114.44525,NA,"NRSA"
NA,46.60219,-115.52497,NA,"NRSA"
NA,44.05506,-113.23232,NA,"NRSA"
NA,45.07931,-116.0938,NA,"NRSA"
NA,45.43438,-116.24657,NA,"NRSA"
NA,48.75671,-116.73369,NA,"NRSA"
NA,43.66638,-114.53681,NA,"NRSA"
NA,46.09771,-114.09283,NA,"NRSA"
NA,45.90731,-113.48004,NA,"NRSA"
NA,46.93093,-110.86907,NA,"NRSA"
NA,48.83676,-114.36791,NA,"NRSA"
NA,46.47068,-104.76994,NA,"NRSA"
NA,48.3536,-113.87986,NA,"NRSA"
NA,47.20769,-115.21949,NA,"NRSA"
NA,46.29743,-113.2271,NA,"NRSA"
NA,46.95863,-109.5488,NA,"NRSA"
NA,46.25091,-109.76885,NA,"NRSA"
NA,46.167,-112.20748,NA,"NRSA"
NA,48.48842,-104.55725,NA,"NRSA"
NA,45.31896,-105.31651,NA,"NRSA"
NA,48.91179,-107.30761,NA,"NRSA"
NA,47.30457,-102.19245,NA,"NRSA"
NA,48.21442,-97.4866,NA,"NRSA"
NA,48.74642,-100.1003,NA,"NRSA"
NA,46.5479,-102.89902,NA,"NRSA"
NA,46.19278,-97.29279,NA,"NRSA"
NA,47.61359,-97.38293,NA,"NRSA"
NA,46.69953,-102.13625,NA,"NRSA"
NA,46.03805,-101.49706,NA,"NRSA"
NA,48.42556,-101.66356,NA,"NRSA"
NA,48.47385,-97.57475,NA,"NRSA"
NA,48.85964,-100.12947,NA,"NRSA"
NA,47.20754,-103.63652,NA,"NRSA"
NA,41.40054,-119.01152,NA,"NRSA"
NA,41.21408,-116.39779,NA,"NRSA"
NA,40.32937,-116.72183,NA,"NRSA"
NA,39.0693,-116.42359,NA,"NRSA"
NA,41.74221,-118.71595,NA,"NRSA"
NA,41.31764,-115.67003,NA,"NRSA"
NA,40.86124,-117.48531,NA,"NRSA"
NA,38.32755,-114.27664,NA,"NRSA"
NA,41.47549,-115.7032,NA,"NRSA"
NA,39.218,-117.0586,NA,"NRSA"
NA,39.39698,-114.70012,NA,"NRSA"
NA,44.86339,-122.27982,NA,"NRSA"
NA,43.69991,-122.84892,NA,"NRSA"
NA,45.85907,-123.61917,NA,"NRSA"
NA,45.36827,-119.44512,NA,"NRSA"
NA,42.56842,-120.53169,NA,"NRSA"
NA,45.33711,-123.05414,NA,"NRSA"
NA,45.11462,-116.85546,NA,"NRSA"
NA,44.1384,-121.59992,NA,"NRSA"
NA,45.09665,-119.60892,NA,"NRSA"
NA,45.02468,-119.1499,NA,"NRSA"
NA,44.65353,-118.72859,NA,"NRSA"
NA,44.30712,-119.17495,NA,"NRSA"
NA,45.24921,-121.65964,NA,"NRSA"
NA,44.71049,-118.80126,NA,"NRSA"
NA,44.37471,-119.25914,NA,"NRSA"
NA,44.89811,-118.38238,NA,"NRSA"
NA,44.09685,-119.51709,NA,"NRSA"
NA,44.39835,-118.67973,NA,"NRSA"
NA,44.67177,-118.54373,NA,"NRSA"
NA,44.96688,-122.79566,NA,"NRSA"
NA,45.69002,-123.71726,NA,"NRSA"
NA,45.2455,-119.20877,NA,"NRSA"
NA,44.89855,-117.42313,NA,"NRSA"
NA,43.64969,-124.09439,NA,"NRSA"
NA,44.9714,-119.29882,NA,"NRSA"
NA,44.62217,-120.20966,NA,"NRSA"
NA,45.05124,-118.66491,NA,"NRSA"
NA,44.99865,-119.80257,NA,"NRSA"
NA,44.61828,-119.29951,NA,"NRSA"
NA,44.90831,-118.31331,NA,"NRSA"
NA,44.95446,-120.11004,NA,"NRSA"
NA,44.62214,-118.57732,NA,"NRSA"
NA,44.20009,-119.3513,NA,"NRSA"
NA,45.2055,-121.4153,NA,"NRSA"
NA,44.84933,-118.78612,NA,"NRSA"
NA,43.28704,-102.817,NA,"NRSA"
NA,44.2763,-103.66381,NA,"NRSA"
NA,45.67639,-101.464,NA,"NRSA"
NA,44.74709,-101.31018,NA,"NRSA"
NA,43.98736,-103.325,NA,"NRSA"
NA,44.25027,-102.64163,NA,"NRSA"
NA,45.5702,-103.61729,NA,"NRSA"
NA,43.89751,-99.03593,NA,"NRSA"
NA,45.40527,-98.05848,NA,"NRSA"
NA,43.13893,-97.0092,NA,"NRSA"
NA,44.38584,-103.27878,NA,"NRSA"
NA,45.28275,-101.9288,NA,"NRSA"
NA,43.17984,-99.04303,NA,"NRSA"
NA,44.47409,-103.2196,NA,"NRSA"
NA,45.50982,-101.08436,NA,"NRSA"
NA,43.82176,-99.45147,NA,"NRSA"
NA,43.15573,-99.36553,NA,"NRSA"
NA,39.13532,-111.86367,NA,"NRSA"
NA,39.67885,-111.08338,NA,"NRSA"
NA,41.81926,-111.61266,NA,"NRSA"
NA,37.55196,-113.40828,NA,"NRSA"
NA,37.13332,-113.663,NA,"NRSA"
NA,40.66228,-111.17913,NA,"NRSA"
NA,40.7647,-109.72218,NA,"NRSA"
NA,40.79388,-111.87525,NA,"NRSA"
NA,39.24344,-111.35238,NA,"NRSA"
NA,40.82644,-109.35909,NA,"NRSA"
NA,38.56127,-109.52144,NA,"NRSA"
NA,47.91787,-120.71826,NA,"NRSA"
NA,47.55338,-120.76985,NA,"NRSA"
NA,47.82841,-120.98266,NA,"NRSA"
NA,47.98425,-120.99859,NA,"NRSA"
NA,47.04861,-121.70081,NA,"NRSA"
NA,48.20525,-118.32031,NA,"NRSA"
NA,46.71331,-122.48159,NA,"NRSA"
NA,47.53383,-124.05941,NA,"NRSA"
NA,46.2615,-122.52147,NA,"NRSA"
NA,47.90893,-120.6473,NA,"NRSA"
NA,47.39113,-120.68333,NA,"NRSA"
NA,47.77379,-120.63449,NA,"NRSA"
NA,47.50084,-120.65754,NA,"NRSA"
NA,47.90991,-121.08903,NA,"NRSA"
NA,47.98587,-120.76811,NA,"NRSA"
NA,47.45253,-120.76926,NA,"NRSA"
NA,47.70092,-120.90719,NA,"NRSA"
NA,47.58554,-120.92391,NA,"NRSA"
NA,47.82426,-120.98872,NA,"NRSA"
NA,48.09697,-121.97872,NA,"NRSA"
NA,46.59523,-121.72171,NA,"NRSA"
NA,48.02538,-124.44327,NA,"NRSA"
NA,46.25956,-117.48154,NA,"NRSA"
NA,46.52663,-121.16615,NA,"NRSA"
NA,46.84485,-121.18622,NA,"NRSA"
NA,44.50401,-110.11679,NA,"NRSA"
NA,44.76031,-107.26416,NA,"NRSA"
NA,43.85899,-110.90908,NA,"NRSA"
NA,43.09746,-108.90919,NA,"NRSA"
NA,43.64639,-107.37865,NA,"NRSA"
NA,41.08387,-107.33269,NA,"NRSA"
NA,42.52282,-106.25457,NA,"NRSA"
NA,42.65724,-110.67103,NA,"NRSA"
NA,43.0945,-110.74507,NA,"NRSA"
NA,44.78621,-109.89218,NA,"NRSA"
NA,42.87319,-109.17991,NA,"NRSA"
NA,43.55997,-107.23897,NA,"NRSA"
NA,44.12135,-107.43706,NA,"NRSA"
NA,44.10216,-109.39757,NA,"NRSA"
NA,43.53978,-108.84934,NA,"NRSA"
NA,44.09455,-106.87589,NA,"NRSA"
NA,44.27449,-105.40059,NA,"NRSA"
NA,44.37288,-109.32365,NA,"NRSA"
NA,44.92105,-110.53731,NA,"NRSA"
NA,43.84891,-108.83739,NA,"NRSA"
NA,42.59226,-108.51601,NA,"NRSA"
NA,44.90278,-109.15301,NA,"NRSA"
NA,41.01548,-108.82674,NA,"NRSA"
NA,42.26335,-107.12422,NA,"NRSA"
NA,42.46895,-110.86983,NA,"NRSA"
NA,43.23574,-110.44743,NA,"NRSA"
NA,36.11783,-112.08298,NA,"NRSA"
NA,36.80649,-114.01602,NA,"NRSA"
NA,34.60769,-111.8295,NA,"NRSA"
NA,33.89038,-109.4873,NA,"NRSA"
NA,36.73297,-110.56828,NA,"NRSA"
NA,36.1214,-112.07993,NA,"NRSA"
NA,33.56385,-109.11079,NA,"NRSA"
NA,33.86358,-109.31927,NA,"NRSA"
NA,33.85105,-109.15069,NA,"NRSA"
NA,34.11861,-111.26927,NA,"NRSA"
NA,41.24444,-123.32795,NA,"NRSA"
NA,38.69578,-119.87532,NA,"NRSA"
NA,34.17617,-116.9839,NA,"NRSA"
NA,34.7477,-120.05303,NA,"NRSA"
NA,33.13163,-116.6544,NA,"NRSA"
NA,34.57066,-118.38974,NA,"NRSA"
NA,34.43952,-119.07616,NA,"NRSA"
NA,36.05408,-118.99364,NA,"NRSA"
NA,39.8693,-123.05088,NA,"NRSA"
NA,40.31673,-123.99758,NA,"NRSA"
NA,33.33052,-116.81511,NA,"NRSA"
NA,37.32884,-121.67384,NA,"NRSA"
NA,40.67583,-121.72809,NA,"NRSA"
NA,33.91889,-117.60776,NA,"NRSA"
NA,38.73217,-119.92824,NA,"NRSA"
NA,41.74725,-122.62649,NA,"NRSA"
NA,36.22779,-118.16187,NA,"NRSA"
NA,41.11777,-123.81514,NA,"NRSA"
NA,34.18128,-116.91197,NA,"NRSA"
NA,34.10098,-117.01071,NA,"NRSA"
NA,32.83213,-116.7265,NA,"NRSA"
NA,33.12423,-116.68157,NA,"NRSA"
NA,34.25257,-117.53174,NA,"NRSA"
NA,34.63193,-118.52977,NA,"NRSA"
NA,34.72654,-119.02842,NA,"NRSA"
NA,34.74721,-119.71562,NA,"NRSA"
NA,33.96165,-117.50039,NA,"NRSA"
NA,34.73287,-119.67637,NA,"NRSA"
NA,34.14743,-119.087,NA,"NRSA"
NA,34.17289,-117.18064,NA,"NRSA"
NA,34.5365,-119.83603,NA,"NRSA"
NA,38.50417,-122.7871,NA,"NRSA"
NA,39.71181,-122.8409,NA,"NRSA"
NA,40.93151,-124.07934,NA,"NRSA"
NA,40.90353,-123.01368,NA,"NRSA"
NA,40.29079,-123.45477,NA,"NRSA"
NA,40.49014,-124.00231,NA,"NRSA"
NA,41.39686,-123.83009,NA,"NRSA"
NA,40.60279,-122.91109,NA,"NRSA"
NA,40.16947,-124.04001,NA,"NRSA"
NA,41.81902,-122.81502,NA,"NRSA"
NA,39.44159,-122.82022,NA,"NRSA"
NA,41.15445,-123.56903,NA,"NRSA"
NA,41.3289,-122.84332,NA,"NRSA"
NA,39.70044,-122.81126,NA,"NRSA"
NA,40.59509,-123.91843,NA,"NRSA"
NA,40.03758,-123.88138,NA,"NRSA"
NA,41.13503,-122.8037,NA,"NRSA"
NA,41.09051,-124.08467,NA,"NRSA"
NA,41.05071,-122.93366,NA,"NRSA"
NA,40.22275,-123.72062,NA,"NRSA"
NA,37.0851,-122.24741,NA,"NRSA"
NA,41.09208,-122.20131,NA,"NRSA"
NA,37.46309,-119.94873,NA,"NRSA"
NA,40.61985,-124.03025,NA,"NRSA"
NA,41.99178,-124.18097,NA,"NRSA"
NA,33.09896,-117.12876,NA,"NRSA"
NA,34.18401,-117.25876,NA,"NRSA"
NA,33.0682,-117.16872,NA,"NRSA"
NA,34.13332,-116.84289,NA,"NRSA"
